Country,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,vaccinated,fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,A_Date,continent,iso_code
T,Taiwan,31,1,1.286,1,0,0,1.302,0.042,0.054,0.042,0,0,0,0,0,0,0,0,0,0,0,609,8906,0.374,0.026,612,0.026,0.002,475.9,people tested,0,0,0,0,0,0,0,0,0,23.15,23816775,0,42.2,0,8.353,0,0,103.957,0,0,0,80.46,0,2020-02-25,Asia,TWN
T,Thailand,37,2,0.286,0,0,0,0.53,0.029,0.004,0,0,0,0,0,0,0,0,0,0,0,0,489,5058,0.072,0.007,264,0.004,0.01,100,tests performed,0,0,0,0,0,0,0,0,0,0,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,77.15,0.777,2020-02-25,Asia,THA
U,United Arab Emirates,13,0,0.571,0,0,0,1.314,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0.102,0.001,1774.1,tests performed,0,0,0,0,0,0,0,0,0,8.33,9890400,112.442,34,1.144,0.526,67293.483,0,317.84,17.26,1.2,37.4,77.97,0.89,2020-02-25,Asia,ARE
U,United Kingdom,34,4,2.143,0,0,0,0.501,0.059,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,81.32,0.932,2020-02-25,Europe,GBR
U,United States,16,0,0.286,0,0,0,0.048,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,78.86,0.926,2020-02-25,North America,USA
V,Vietnam,16,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0.014,0,24,0,0,0,samples tested,0,0,0,0,0,0,0,0,0,47.22,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,75.4,0.704,2020-02-25,Asia,VNM
A,Afghanistan,76,33,7.429,2,1,0.286,1.952,0.848,0.191,0.051,0.026,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.26,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,64.83,0.511,2020-03-25,Asia,AFG
A,Albania,146,23,12.429,5,0,0.429,50.733,7.992,4.319,1.737,0,0.149,1.17,0,0,0,0,0,0,0,0,111,922,0.32,0.039,37,0.013,0.336,3,tests performed,0,0,0,0,0,0,0,0,0,84.26,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,78.57,0.795,2020-03-25,Europe,ALB
A,Algeria,302,38,32.571,21,2,2,6.887,0.867,0.743,0.479,0.046,0.046,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,76.88,0.748,2020-03-25,Africa,DZA
A,Andorra,188,24,21.286,1,0,0.143,2433.184,310.619,275.49,12.942,0,1.849,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.15,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,83.73,0.868,2020-03-25,Europe,AND
