Country,location,Avg_TotalCase,total_cases,Avg_Ncase,new_cases,Avg_Tdeath,total_deaths,Avg_Ndeath,new_deaths,Avg_Ttest,total_tests,Avg_Tvaccine,total_vaccination,Avg_Hvaccin,vaccinated,Avg_Fvaccin,fully_vaccinated,Avg_Pop,population,Date,A_Date
J,Japan,73.33333333,54,8.4,11,1,1,0.2,0,354.6,217,0,0,0,0,0,0,126476458,126476458,2/15/20,2020-02
J,Japan,137.6666667,95,15,10,2,2,0,0,727,565,0,0,0,0,0,0,126476458,126476458,2/20/20,2020-02
J,Japan,212.8,173,17,13,3.333333333,3,0.8,1,1245.6,933,0,0,0,0,0,0,126476458,126476458,2/25/20,2020-02
K,Kuwait,34,11,8.8,10,0,0,0,0,0,0,0,0,0,0,0,0,4270563,4270563,2/25/20,2020-02
L,Latvia,0,0,0,0,0,0,0,0,38.66666667,0,0,0,0,0,0,0,1886202,1886202,2/15/20,2020-02
L,Lebanon,2.2,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6825442,6825442,2/25/20,2020-02
L,Luxembourg,0.2,0,0.2,0,0,0,0,0,13,9,0,0,0,0,0,0,625976,625976,2/25/20,2020-02
M,Malaysia,14.33333333,12,1.2,2,0,0,0,0,0,0,0,0,0,0,0,0,32365998,32365998,2/5/20,2020-02
M,Malaysia,19,18,0.6,2,0,0,0,0,130.6,0,0,0,0,0,0,0,32365998,32365998,2/10/20,2020-02
M,Malaysia,22,22,0.6,3,0,0,0,0,442,0,0,0,0,0,0,0,32365998,32365998,2/15/20,2020-02
M,Malaysia,22,22,0,0,0,0,0,0,786,880,0,0,0,0,0,0,32365998,32365998,2/20/20,2020-02
M,Malaysia,23,22,0.6,0,0,0,0,0,1050.2,1067,0,0,0,0,0,0,32365998,32365998,2/25/20,2020-02
M,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441539,441539,2/10/20,2020-02
M,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441539,441539,2/15/20,2020-02
M,Malta,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,441539,441539,2/20/20,2020-02
M,Malta,0,0,0,0,0,0,0,0,128.8,75,0,0,0,0,0,0,441539,441539,2/25/20,2020-02
M,Mexico,0,0,0,0,0,0,0,0,6552.8,6211,0,0,0,0,0,0,128932753,128932753,2/5/20,2020-02
M,Mexico,0,0,0,0,0,0,0,0,7608.8,7143,0,0,0,0,0,0,128932753,128932753,2/10/20,2020-02
M,Mexico,0,0,0,0,0,0,0,0,8456.8,8087,0,0,0,0,0,0,128932753,128932753,2/15/20,2020-02
M,Mexico,0,0,0,0,0,0,0,0,9279,9055,0,0,0,0,0,0,128932753,128932753,2/20/20,2020-02
M,Mexico,1,0,0.8,0,0,0,0,0,10218.4,9830,0,0,0,0,0,0,128932753,128932753,2/25/20,2020-02
M,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36910558,36910558,2/10/20,2020-02
M,Morocco,0,0,0,0,0,0,0,0,4.2,10,0,0,0,0,0,0,36910558,36910558,2/15/20,2020-02
M,Morocco,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,36910558,36910558,2/20/20,2020-02
M,Morocco,0,0,0,0,0,0,0,0,15.2,15,0,0,0,0,0,0,36910558,36910558,2/25/20,2020-02
N,Nepal,1,1,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,29136808,29136808,2/5/20,2020-02
N,Nepal,1,1,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,29136808,29136808,2/10/20,2020-02
N,Nepal,1,1,0,0,0,0,0,0,55.8,0,0,0,0,0,0,0,29136808,29136808,2/15/20,2020-02
N,Nepal,1,1,0,0,0,0,0,0,129,212,0,0,0,0,0,0,29136808,29136808,2/20/20,2020-02
N,Nepal,1,1,0,0,0,0,0,0,133.4,221,0,0,0,0,0,0,29136808,29136808,2/25/20,2020-02
O,Oceania,14.5,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,42677809,42677809,2/5/20,2020-02
O,Oceania,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42677809,42677809,2/10/20,2020-02
O,Oceania,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42677809,42677809,2/15/20,2020-02
O,Oceania,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42677809,42677809,2/20/20,2020-02
O,Oceania,17.4,15,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,42677809,42677809,2/25/20,2020-02
O,Oman,4,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,5106622,5106622,2/25/20,2020-02
P,Pakistan,2.8,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,220892331,220892331,2/25/20,2020-02
P,Peru,0,0,0,0,0,0,0,0,27.8,31,0,0,0,0,0,0,32971846,32971846,2/5/20,2020-02
P,Peru,0,0,0,0,0,0,0,0,44.6,42,0,0,0,0,0,0,32971846,32971846,2/10/20,2020-02
P,Peru,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,32971846,32971846,2/15/20,2020-02
P,Peru,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,32971846,32971846,2/20/20,2020-02
P,Peru,0,0,0,0,0,0,0,0,85.8,60,0,0,0,0,0,0,32971846,32971846,2/25/20,2020-02
P,Philippines,2.666666667,2,0.2,0,1,1,0,0,0,0,0,0,0,0,0,0,109581085,109581085,2/5/20,2020-02
P,Philippines,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,109581085,109581085,2/10/20,2020-02
P,Philippines,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,109581085,109581085,2/15/20,2020-02
P,Philippines,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,109581085,109581085,2/20/20,2020-02
P,Philippines,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,109581085,109581085,2/25/20,2020-02
P,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10196707,10196707,2/15/20,2020-02
R,Russia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145934460,145934460,2/5/20,2020-02
R,Russia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145934460,145934460,2/10/20,2020-02
R,Russia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145934460,145934460,2/15/20,2020-02
R,Russia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145934460,145934460,2/20/20,2020-02
R,Russia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145934460,145934460,2/25/20,2020-02
S,Singapore,34,28,3.2,4,0,0,0,0,0,0,0,0,0,0,0,0,5850343,5850343,2/5/20,2020-02
S,Singapore,56.5,45,5.4,5,0,0,0,0,0,0,0,0,0,0,0,0,5850343,5850343,2/10/20,2020-02
S,Singapore,78.83333333,72,3.4,5,0,0,0,0,0,0,0,0,0,0,0,0,5850343,5850343,2/15/20,2020-02
S,Singapore,87.16666667,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5850343,5850343,2/20/20,2020-02
S,Singapore,94.4,91,2.6,2,0,0,0,0,0,0,0,0,0,0,0,0,5850343,5850343,2/25/20,2020-02
S,Slovenia,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,2078932,2078932,2/5/20,2020-02
S,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2078932,2078932,2/10/20,2020-02
S,Slovenia,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,2078932,2078932,2/15/20,2020-02
S,Slovenia,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,2078932,2078932,2/20/20,2020-02
S,Slovenia,0,0,0,0,0,0,0,0,134.8,59,0,0,0,0,0,0,2078932,2078932,2/25/20,2020-02
S,Spain,1.333333333,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,46754783,46754783,2/5/20,2020-02
S,Spain,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46754783,46754783,2/10/20,2020-02
S,Spain,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46754783,46754783,2/15/20,2020-02
S,Spain,2.666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46754783,46754783,2/20/20,2020-02
S,Spain,22.2,6,8.6,4,0,0,0,0,0,0,0,0,0,0,0,0,46754783,46754783,2/25/20,2020-02
S,Sri Lanka,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21413250,21413250,2/5/20,2020-02
S,Sri Lanka,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21413250,21413250,2/10/20,2020-02
S,Sri Lanka,1,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,21413250,21413250,2/15/20,2020-02
S,Sri Lanka,1,1,0,0,0,0,0,0,0.4,2,0,0,0,0,0,0,21413250,21413250,2/20/20,2020-02
S,Sri Lanka,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,21413250,21413250,2/25/20,2020-02
S,Sweden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10099270,10099270,2/5/20,2020-02
S,Sweden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10099270,10099270,2/10/20,2020-02
S,Sweden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10099270,10099270,2/15/20,2020-02
S,Sweden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10099270,10099270,2/20/20,2020-02
